contact_id	1-indexed-contact_id	connected	shank_id	x	y
0	1	1	1	43	20
1	2	1	1	11	20
2	3	1	1	59	40
3	4	1	1	27	40
4	5	1	1	43	60
5	6	1	1	11	60
6	7	1	1	59	80
7	8	1	1	27	80
8	9	1	1	43	100
9	10	1	1	11	100
10	11	1	1	59	120
11	12	1	1	27	120
12	13	1	1	43	140
13	14	1	1	11	140
14	15	1	1	59	160
15	16	1	1	27	160
16	17	1	1	43	180
17	18	1	1	11	180
18	19	1	1	59	200
19	20	1	1	27	200
20	21	1	1	43	220
21	22	1	1	11	220
22	23	1	1	59	240
23	24	1	1	27	240
24	25	1	1	43	260
25	26	1	1	11	260
26	27	1	1	59	280
27	28	1	1	27	280
28	29	1	1	43	300
29	30	1	1	11	300
30	31	1	1	59	320
31	32	1	1	27	320
32	33	1	1	43	340
33	34	1	1	11	340
34	35	1	1	59	360
35	36	1	1	27	360
36	37	0	1	43	380
37	38	1	1	11	380
38	39	1	1	59	400
39	40	1	1	27	400
40	41	1	1	43	420
41	42	1	1	11	420
42	43	1	1	59	440
43	44	1	1	27	440
44	45	1	1	43	460
45	46	1	1	11	460
46	47	1	1	59	480
47	48	1	1	27	480
48	49	1	1	43	500
49	50	1	1	11	500
50	51	1	1	59	520
51	52	1	1	27	520
52	53	1	1	43	540
53	54	1	1	11	540
54	55	1	1	59	560
55	56	1	1	27	560
56	57	1	1	43	580
57	58	1	1	11	580
58	59	1	1	59	600
59	60	1	1	27	600
60	61	1	1	43	620
61	62	1	1	11	620
62	63	1	1	59	640
63	64	1	1	27	640
64	65	1	1	43	660
65	66	1	1	11	660
66	67	1	1	59	680
67	68	1	1	27	680
68	69	1	1	43	700
69	70	1	1	11	700
70	71	1	1	59	720
71	72	1	1	27	720
72	73	1	1	43	740
73	74	1	1	11	740
74	75	1	1	59	760
75	76	0	1	27	760
76	77	1	1	43	780
77	78	1	1	11	780
78	79	1	1	59	800
79	80	1	1	27	800
80	81	1	1	43	820
81	82	1	1	11	820
82	83	1	1	59	840
83	84	1	1	27	840
84	85	1	1	43	860
85	86	1	1	11	860
86	87	1	1	59	880
87	88	1	1	27	880
88	89	1	1	43	900
89	90	1	1	11	900
90	91	1	1	59	920
91	92	1	1	27	920
92	93	1	1	43	940
93	94	1	1	11	940
94	95	1	1	59	960
95	96	1	1	27	960
96	97	1	1	43	980
97	98	1	1	11	980
98	99	1	1	59	1000
99	100	1	1	27	1000
100	101	1	1	43	1020
101	102	1	1	11	1020
102	103	1	1	59	1040
103	104	1	1	27	1040
104	105	1	1	43	1060
105	106	1	1	11	1060
106	107	1	1	59	1080
107	108	1	1	27	1080
108	109	1	1	43	1100
109	110	1	1	11	1100
110	111	1	1	59	1120
111	112	1	1	27	1120
112	113	0	1	43	1140
113	114	1	1	11	1140
114	115	1	1	59	1160
115	116	1	1	27	1160
116	117	1	1	43	1180
117	118	1	1	11	1180
118	119	1	1	59	1200
119	120	1	1	27	1200
120	121	1	1	43	1220
121	122	1	1	11	1220
122	123	1	1	59	1240
123	124	1	1	27	1240
124	125	1	1	43	1260
125	126	1	1	11	1260
126	127	1	1	59	1280
127	128	1	1	27	1280
128	129	1	1	43	1300
129	130	1	1	11	1300
130	131	1	1	59	1320
131	132	1	1	27	1320
132	133	1	1	43	1340
133	134	1	1	11	1340
134	135	1	1	59	1360
135	136	1	1	27	1360
136	137	1	1	43	1380
137	138	1	1	11	1380
138	139	1	1	59	1400
139	140	1	1	27	1400
140	141	1	1	43	1420
141	142	1	1	11	1420
142	143	1	1	59	1440
143	144	1	1	27	1440
144	145	1	1	43	1460
145	146	1	1	11	1460
146	147	1	1	59	1480
147	148	1	1	27	1480
148	149	1	1	43	1500
149	150	1	1	11	1500
150	151	1	1	59	1520
151	152	0	1	27	1520
152	153	1	1	43	1540
153	154	1	1	11	1540
154	155	1	1	59	1560
155	156	1	1	27	1560
156	157	1	1	43	1580
157	158	1	1	11	1580
158	159	1	1	59	1600
159	160	1	1	27	1600
160	161	1	1	43	1620
161	162	1	1	11	1620
162	163	1	1	59	1640
163	164	1	1	27	1640
164	165	1	1	43	1660
165	166	1	1	11	1660
166	167	1	1	59	1680
167	168	1	1	27	1680
168	169	1	1	43	1700
169	170	1	1	11	1700
170	171	1	1	59	1720
171	172	1	1	27	1720
172	173	1	1	43	1740
173	174	1	1	11	1740
174	175	1	1	59	1760
175	176	1	1	27	1760
176	177	1	1	43	1780
177	178	1	1	11	1780
178	179	1	1	59	1800
179	180	1	1	27	1800
180	181	1	1	43	1820
181	182	1	1	11	1820
182	183	1	1	59	1840
183	184	1	1	27	1840
184	185	1	1	43	1860
185	186	1	1	11	1860
186	187	1	1	59	1880
187	188	1	1	27	1880
188	189	0	1	43	1900
189	190	1	1	11	1900
190	191	1	1	59	1920
191	192	1	1	27	1920
192	193	1	1	43	1940
193	194	1	1	11	1940
194	195	1	1	59	1960
195	196	1	1	27	1960
196	197	1	1	43	1980
197	198	1	1	11	1980
198	199	1	1	59	2000
199	200	1	1	27	2000
200	201	1	1	43	2020
201	202	1	1	11	2020
202	203	1	1	59	2040
203	204	1	1	27	2040
204	205	1	1	43	2060
205	206	1	1	11	2060
206	207	1	1	59	2080
207	208	1	1	27	2080
208	209	1	1	43	2100
209	210	1	1	11	2100
210	211	1	1	59	2120
211	212	1	1	27	2120
212	213	1	1	43	2140
213	214	1	1	11	2140
214	215	1	1	59	2160
215	216	1	1	27	2160
216	217	1	1	43	2180
217	218	1	1	11	2180
218	219	1	1	59	2200
219	220	1	1	27	2200
220	221	1	1	43	2220
221	222	1	1	11	2220
222	223	1	1	59	2240
223	224	1	1	27	2240
224	225	1	1	43	2260
225	226	1	1	11	2260
226	227	1	1	59	2280
227	228	0	1	27	2280
228	229	1	1	43	2300
229	230	1	1	11	2300
230	231	1	1	59	2320
231	232	1	1	27	2320
232	233	1	1	43	2340
233	234	1	1	11	2340
234	235	1	1	59	2360
235	236	1	1	27	2360
236	237	1	1	43	2380
237	238	1	1	11	2380
238	239	1	1	59	2400
239	240	1	1	27	2400
240	241	1	1	43	2420
241	242	1	1	11	2420
242	243	1	1	59	2440
243	244	1	1	27	2440
244	245	1	1	43	2460
245	246	1	1	11	2460
246	247	1	1	59	2480
247	248	1	1	27	2480
248	249	1	1	43	2500
249	250	1	1	11	2500
250	251	1	1	59	2520
251	252	1	1	27	2520
252	253	1	1	43	2540
253	254	1	1	11	2540
254	255	1	1	59	2560
255	256	1	1	27	2560
256	257	1	1	43	2580
257	258	1	1	11	2580
258	259	1	1	59	2600
259	260	1	1	27	2600
260	261	1	1	43	2620
261	262	1	1	11	2620
262	263	1	1	59	2640
263	264	1	1	27	2640
264	265	0	1	43	2660
265	266	1	1	11	2660
266	267	1	1	59	2680
267	268	1	1	27	2680
268	269	1	1	43	2700
269	270	1	1	11	2700
270	271	1	1	59	2720
271	272	1	1	27	2720
272	273	1	1	43	2740
273	274	1	1	11	2740
274	275	1	1	59	2760
275	276	1	1	27	2760
276	277	1	1	43	2780
277	278	1	1	11	2780
278	279	1	1	59	2800
279	280	1	1	27	2800
280	281	1	1	43	2820
281	282	1	1	11	2820
282	283	1	1	59	2840
283	284	1	1	27	2840
284	285	1	1	43	2860
285	286	1	1	11	2860
286	287	1	1	59	2880
287	288	1	1	27	2880
288	289	1	1	43	2900
289	290	1	1	11	2900
290	291	1	1	59	2920
291	292	1	1	27	2920
292	293	1	1	43	2940
293	294	1	1	11	2940
294	295	1	1	59	2960
295	296	1	1	27	2960
296	297	1	1	43	2980
297	298	1	1	11	2980
298	299	1	1	59	3000
299	300	1	1	27	3000
300	301	1	1	43	3020
301	302	1	1	11	3020
302	303	1	1	59	3040
303	304	0	1	27	3040
304	305	1	1	43	3060
305	306	1	1	11	3060
306	307	1	1	59	3080
307	308	1	1	27	3080
308	309	1	1	43	3100
309	310	1	1	11	3100
310	311	1	1	59	3120
311	312	1	1	27	3120
312	313	1	1	43	3140
313	314	1	1	11	3140
314	315	1	1	59	3160
315	316	1	1	27	3160
316	317	1	1	43	3180
317	318	1	1	11	3180
318	319	1	1	59	3200
319	320	1	1	27	3200
320	321	1	1	43	3220
321	322	1	1	11	3220
322	323	1	1	59	3240
323	324	1	1	27	3240
324	325	1	1	43	3260
325	326	1	1	11	3260
326	327	1	1	59	3280
327	328	1	1	27	3280
328	329	1	1	43	3300
329	330	1	1	11	3300
330	331	1	1	59	3320
331	332	1	1	27	3320
332	333	1	1	43	3340
333	334	1	1	11	3340
334	335	1	1	59	3360
335	336	1	1	27	3360
336	337	1	1	43	3380
337	338	1	1	11	3380
338	339	1	1	59	3400
339	340	1	1	27	3400
340	341	0	1	43	3420
341	342	1	1	11	3420
342	343	1	1	59	3440
343	344	1	1	27	3440
344	345	1	1	43	3460
345	346	1	1	11	3460
346	347	1	1	59	3480
347	348	1	1	27	3480
348	349	1	1	43	3500
349	350	1	1	11	3500
350	351	1	1	59	3520
351	352	1	1	27	3520
352	353	1	1	43	3540
353	354	1	1	11	3540
354	355	1	1	59	3560
355	356	1	1	27	3560
356	357	1	1	43	3580
357	358	1	1	11	3580
358	359	1	1	59	3600
359	360	1	1	27	3600
360	361	1	1	43	3620
361	362	1	1	11	3620
362	363	1	1	59	3640
363	364	1	1	27	3640
364	365	1	1	43	3660
365	366	1	1	11	3660
366	367	1	1	59	3680
367	368	1	1	27	3680
368	369	1	1	43	3700
369	370	1	1	11	3700
370	371	1	1	59	3720
371	372	1	1	27	3720
372	373	1	1	43	3740
373	374	1	1	11	3740
374	375	1	1	59	3760
375	376	1	1	27	3760
376	377	1	1	43	3780
377	378	1	1	11	3780
378	379	1	1	59	3800
379	380	0	1	27	3800
380	381	1	1	43	3820
381	382	1	1	11	3820
382	383	1	1	59	3840
383	384	1	1	27	3840
